,name,clouds,country,dt,humidity,lat,lon,temp_max,speed
336,Saint Anthony,40,US,1600903605,54,45.02,-93.22,82.4,7.31
337,Itarema,3,BR,1600903356,76,-2.92,-39.92,78.46,17.96
338,Kortkeros,20,RU,1600903608,100,61.81,51.58,33.8,4.47
339,Mogadishu,84,SO,1600903610,79,2.04,45.34,77.85,18.84
340,Harlingen,1,US,1600903611,66,26.19,-97.7,89.01,13.87
341,San Patricio,40,MX,1600903613,66,19.22,-104.7,89.6,11.41
342,Camapuã,30,BR,1600903614,32,-19.53,-54.04,83.8,7.94
343,Linxia Chengguanzhen,51,CN,1600903615,75,35.6,103.21,52.59,0.92
344,Boca do Acre,39,BR,1600903617,61,-8.75,-67.4,82.85,0.78
345,Keminmaa,97,FI,1600903618,100,65.86,24.82,51.8,5.82
346,Timrå,100,SE,1600903620,76,62.49,17.33,52.0,6.93
347,Novosergiyevka,0,RU,1600903622,87,52.09,53.65,47.5,5.23
348,Smoljan,67,ME,1600903624,98,43.09,19.23,49.42,4.7
349,Grindavik,75,IS,1600903626,74,63.84,-22.43,37.4,18.34
350,Goulburn,64,AU,1600903627,71,-34.75,149.72,51.01,17.9
351,Dickinson,90,US,1600903629,78,29.46,-95.05,78.01,12.75
352,Cedar City,1,US,1600903341,8,37.68,-113.06,86.0,9.17
353,Chippewa Falls,1,US,1600903631,44,44.94,-91.39,80.01,8.05
354,Bouna,100,CI,1600903633,97,9.27,-3.0,72.43,4.88
355,Antalaha,35,MG,1600903634,79,-14.9,50.28,65.19,7.74
356,Marystown,81,CA,1600903636,100,47.17,-55.15,63.0,7.0
357,Ambulu,36,ID,1600903638,87,-8.35,113.61,75.34,1.34
358,Kenai,75,US,1600903639,62,60.55,-151.26,59.0,13.87
359,Strezhevoy,20,RU,1600903641,100,60.73,77.59,39.2,8.95
360,Slyudyanka,1,RU,1600903642,77,51.66,103.71,46.69,3.33
361,Hobyo,2,SO,1600903643,86,5.35,48.53,76.69,21.3
362,Port Macquarie,0,AU,1600903481,42,-31.43,152.92,66.99,9.91
363,Dwārka,95,IN,1600903388,85,22.24,68.97,81.75,16.44
364,Oranjemund,0,NA,1600903647,68,-28.55,16.43,60.76,3.22
365,Begunitsy,48,RU,1600903649,87,59.59,29.32,60.01,6.71
366,Bariloche,68,AR,1600903650,27,-41.15,-71.31,53.6,5.82
367,Klamath Falls,1,US,1600903651,23,42.22,-121.78,75.99,16.11
368,Coyhaique,20,CL,1600903576,52,-45.58,-72.07,46.4,9.17
369,La Providencia,1,MX,1600903655,25,28.72,-111.58,102.99,17.0
370,Buraidah,0,SA,1600903657,24,26.33,43.98,80.6,6.93
